week,cats,butts
2004-01-04,100,19
2004-01-11,89,18
2004-01-18,92,21
2004-01-25,87,18
2004-02-01,89,18
2004-02-08,86,17
2004-02-15,88,16
2004-02-22,85,19
2004-02-29,81,17
2004-03-07,88,19
2004-03-14,85,20
2004-03-21,90,17
2004-03-28,86,17
2004-04-04,83,19
2004-04-11,84,17
2004-04-18,87,18
2004-04-25,86,18
2004-05-02,88,15
2004-05-09,88,16
2004-05-16,83,16
2004-05-23,84,15
2004-05-30,81,18
2004-06-06,83,18
2004-06-13,80,17
2004-06-20,82,18
2004-06-27,78,16
2004-07-04,87,15
2004-07-11,84,16
2004-07-18,84,16
2004-07-25,87,17
2004-08-01,85,16
2004-08-08,82,17
2004-08-15,82,17
2004-08-22,80,20
2004-08-29,78,15
2004-09-05,81,15
2004-09-12,84,15
2004-09-19,85,14
2004-09-26,83,15
2004-10-03,82,15
2004-10-10,88,15
2004-10-17,88,15
2004-10-24,86,16
2004-10-31,81,17
2004-11-07,86,18
2004-11-14,84,15
2004-11-21,86,16
2004-11-28,80,15
2004-12-05,83,16
2004-12-12,85,16
2004-12-19,81,16
2004-12-26,79,19
2005-01-02,81,16
2005-01-09,85,16
2005-01-16,84,16
2005-01-23,85,15
2005-01-30,82,15
2005-02-06,89,17
2005-02-13,85,15
2005-02-20,85,14
2005-02-27,80,15
2005-03-06,84,16
2005-03-13,76,17
2005-03-20,82,18
2005-03-27,78,17
2005-04-03,77,16
2005-04-10,86,16
2005-04-17,79,17
2005-04-24,83,16
2005-05-01,82,17
2005-05-08,83,16
2005-05-15,83,16
2005-05-22,79,18
2005-05-29,76,17
2005-06-05,77,16
2005-06-12,82,16
2005-06-19,78,17
2005-06-26,75,16
2005-07-03,74,16
2005-07-10,78,18
2005-07-17,75,16
2005-07-24,79,17
2005-07-31,80,16
2005-08-07,79,16
2005-08-14,81,17
2005-08-21,82,17
2005-08-28,73,14
2005-09-04,73,15
2005-09-11,76,15
2005-09-18,76,15
2005-09-25,77,15
2005-10-02,81,14
2005-10-09,81,14
2005-10-16,81,15
2005-10-23,77,14
2005-10-30,78,15
2005-11-06,82,14
2005-11-13,80,15
2005-11-20,77,14
2005-11-27,80,14
2005-12-04,77,16
2005-12-11,76,16
2005-12-18,79,16
2005-12-25,73,16
2006-01-01,77,16
2006-01-08,80,14
2006-01-15,80,14
2006-01-22,80,16
2006-01-29,80,15
2006-02-05,76,17
2006-02-12,74,16
2006-02-19,78,15
2006-02-26,80,15
2006-03-05,78,15
2006-03-12,84,15
2006-03-19,81,15
2006-03-26,77,15
2006-04-02,75,15
2006-04-09,76,16
2006-04-16,81,18
2006-04-23,77,16
2006-04-30,78,18
2006-05-07,79,17
2006-05-14,79,16
2006-05-21,77,15
2006-05-28,70,16
2006-06-04,76,17
2006-06-11,77,16
2006-06-18,72,15
2006-06-25,76,17
2006-07-02,72,16
2006-07-09,77,16
2006-07-16,79,17
2006-07-23,74,15
2006-07-30,73,15
2006-08-06,77,15
2006-08-13,79,15
2006-08-20,76,14
2006-08-27,75,15
2006-09-03,75,13
2006-09-10,73,14
2006-09-17,76,13
2006-09-24,75,13
2006-10-01,76,14
2006-10-08,73,13
2006-10-15,75,13
2006-10-22,73,14
2006-10-29,73,13
2006-11-05,76,15
2006-11-12,72,13
2006-11-19,72,14
2006-11-26,72,13
2006-12-03,73,13
2006-12-10,70,14
2006-12-17,74,14
2006-12-24,70,16
2006-12-31,74,15
2007-01-07,70,12
2007-01-14,70,13
2007-01-21,73,14
2007-01-28,71,14
2007-02-04,68,14
2007-02-11,71,13
2007-02-18,73,15
2007-02-25,69,13
2007-03-04,69,14
2007-03-11,72,14
2007-03-18,71,14
2007-03-25,72,14
2007-04-01,75,14
2007-04-08,69,16
2007-04-15,71,14
2007-04-22,69,15
2007-04-29,72,15
2007-05-06,70,15
2007-05-13,72,15
2007-05-20,69,14
2007-05-27,67,15
2007-06-03,71,14
2007-06-10,69,15
2007-06-17,72,14
2007-06-24,71,15
2007-07-01,71,15
2007-07-08,73,16
2007-07-15,75,15
2007-07-22,73,14
2007-07-29,73,15
2007-08-05,73,15
2007-08-12,76,14
2007-08-19,72,14
2007-08-26,69,14
2007-09-02,68,13
2007-09-09,69,13
2007-09-16,68,13
2007-09-23,69,12
2007-09-30,71,14
2007-10-07,71,14
2007-10-14,71,13
2007-10-21,69,14
2007-10-28,72,14
2007-11-04,71,13
2007-11-11,70,13
2007-11-18,74,14
2007-11-25,76,15
2007-12-02,77,16
2007-12-09,71,14
2007-12-16,72,14
2007-12-23,71,16
2007-12-30,71,15
2008-01-06,71,13
2008-01-13,70,14
2008-01-20,69,14
2008-01-27,71,14
2008-02-03,69,14
2008-02-10,66,13
2008-02-17,68,14
2008-02-24,67,13
2008-03-02,69,13
2008-03-09,69,13
2008-03-16,69,13
2008-03-23,66,14
2008-03-30,69,14
2008-04-06,68,13
2008-04-13,70,14
2008-04-20,72,13
2008-04-27,73,13
2008-05-04,69,14
2008-05-11,70,13
2008-05-18,69,13
2008-05-25,67,14
2008-06-01,67,13
2008-06-08,67,14
2008-06-15,66,15
2008-06-22,68,15
2008-06-29,65,14
2008-07-06,65,14
2008-07-13,65,15
2008-07-20,68,15
2008-07-27,68,14
2008-08-03,68,14
2008-08-10,66,14
