week,cats,butts,cat,butt
2004-01-04,31,6,68,12
2004-01-11,28,6,61,11
2004-01-18,27,6,65,12
2004-01-25,27,5,62,12
2004-02-01,28,5,61,10
2004-02-08,26,5,61,11
2004-02-15,27,5,64,11
2004-02-22,26,6,65,11
2004-02-29,26,5,61,10
2004-03-07,27,6,73,13
2004-03-14,26,6,66,11
2004-03-21,27,6,64,12
2004-03-28,25,5,62,12
2004-04-04,27,6,65,11
2004-04-11,26,6,60,12
2004-04-18,27,6,63,12
2004-04-25,27,5,61,11
2004-05-02,26,5,61,11
2004-05-09,27,5,60,11
2004-05-16,26,5,58,11
2004-05-23,25,5,59,11
2004-05-30,24,6,58,12
2004-06-06,26,5,60,12
2004-06-13,24,5,59,11
2004-06-20,25,5,59,11
2004-06-27,24,5,61,12
2004-07-04,27,5,61,11
2004-07-11,26,4,66,11
2004-07-18,26,5,64,12
2004-07-25,26,5,67,11
2004-08-01,26,5,65,12
2004-08-08,24,5,62,11
2004-08-15,25,6,65,12
2004-08-22,25,6,63,12
2004-08-29,24,5,61,13
2004-09-05,24,5,60,12
2004-09-12,25,5,60,10
2004-09-19,26,5,80,11
2004-09-26,25,4,63,10
2004-10-03,26,5,62,11
2004-10-10,26,5,63,11
2004-10-17,27,5,62,11
2004-10-24,27,5,63,10
2004-10-31,25,5,58,11
2004-11-07,27,5,61,12
2004-11-14,26,5,61,11
2004-11-21,26,5,60,10
2004-11-28,25,5,56,11
2004-12-05,26,5,61,12
2004-12-12,25,5,61,11
2004-12-19,25,5,69,12
2004-12-26,24,6,60,12
2005-01-02,26,5,60,12
2005-01-09,26,5,60,12
2005-01-16,25,5,59,11
2005-01-23,26,5,59,11
2005-01-30,25,5,61,11
2005-02-06,26,5,61,12
2005-02-13,25,5,60,11
2005-02-20,25,4,59,11
2005-02-27,24,5,58,11
2005-03-06,25,5,60,11
2005-03-13,24,5,56,11
2005-03-20,25,5,61,11
2005-03-27,24,5,58,11
2005-04-03,24,5,56,12
2005-04-10,27,5,57,11
2005-04-17,24,5,57,11
2005-04-24,25,5,57,11
2005-05-01,26,6,61,12
2005-05-08,26,5,60,11
2005-05-15,25,5,57,11
2005-05-22,25,5,59,12
2005-05-29,23,5,57,11
2005-06-05,24,5,57,12
2005-06-12,24,5,58,12
2005-06-19,24,5,59,11
2005-06-26,23,5,58,12
2005-07-03,23,5,55,11
2005-07-10,24,5,60,11
2005-07-17,24,5,61,11
2005-07-24,24,5,60,11
2005-07-31,25,5,62,12
2005-08-07,24,5,60,11
2005-08-14,25,5,62,11
2005-08-21,25,5,62,11
2005-08-28,23,4,61,11
2005-09-04,22,5,58,11
2005-09-11,24,5,62,11
2005-09-18,23,4,60,11
